file name,X-Spam-Level,X-Spam-Status,Spam-Score,Spam-Test,,spam,score,auth_na,date_in_past,forged_mua_outlook,forged_outlook_html,forged_outlook_tags,hfilter_hostname_unknown,has_list_unsub,dmarc_policy_allow,mime_good,mime_html_only,missing_mid,missing_to,old_x_mailer,rcvd_helo_user,rcvd_no_tls_last,r_no_space_in_from,to_dn_recipients,subj_all_caps,r_spf_fail,r_spf_allow,violated_direct_spf,whitelist_dmarc
phishing-2015-116.txt,3,No,3.4,"EMPTY_MESSAGE,MISSING_MID,RCVD_IN_MSPIKE_H3,RCVD_IN_MSPIKE_WL,SPF_HELO_NONE,SPF_SOFTFAIL",,Spam: true,9.0,,Symbol: DATE_IN_PAST (1.00)[55246],,,,,,,Symbol: MIME_GOOD (-0.10)[multipart/alternative],,Symbol: MISSING_MID (2.50),,,,Symbol: RCVD_NO_TLS_LAST (0.10),,Symbol: TO_DN_RECIPIENTS (2.00),,,,Symbol: VIOLATED_DIRECT_SPF (3.50),
phishing-2020-35.txt,3,No,3.5,"DKIM_INVALID,DKIM_SIGNED,EMPTY_MESSAGE,HEADER_FROM_DIFFERENT_DOMAINS,SPF_HELO_NONE,SPF_PASS,URIBL_BLOCKED",,Spam: true,1.7899999999999991,,Symbol: DATE_IN_PAST (1.00)[14168],,,,,,,Symbol: MIME_GOOD (-0.10)[multipart/alternative],,,,,,Symbol: RCVD_NO_TLS_LAST (0.10),,,,,Symbol: R_SPF_ALLOW (-0.20)[+ip4:149.72.0.0/16:c],,
phishing-2017-106.txt,0,No,0.7,"HTML_MIME_NO_HTML_TAG,MIME_HTML_ONLY,SPF_HELO_NONE,SPF_NONE,TVD_SPACE_RATIO",,Spam: true,2.789999999999999,Symbol: AUTH_NA (1.00),Symbol: DATE_IN_PAST (1.00)[40223],,,,,,,,Symbol: MIME_HTML_ONLY (0.20),,,,,Symbol: RCVD_NO_TLS_LAST (0.10),,,,,,,
phishing-2017-23.txt,4,No,4.9,"EMPTY_MESSAGE,RCVD_IN_SBL,T_SPF_HELO_TEMPERROR",,Spam: true,4.0,,Symbol: DATE_IN_PAST (1.00)[41435],,,,,,,Symbol: MIME_GOOD (-0.10)[multipart/alternative],,,,,,Symbol: RCVD_NO_TLS_LAST (0.10),,,,,,,
phishing-2016-280.txt,2,No,2.3,"EMPTY_MESSAGE,RCVD_IN_DNSWL_BLOCKED,RCVD_IN_MSPIKE_H3,RCVD_IN_MSPIKE_WL,SPF_HELO_NONE,SPF_NONE",,Spam: true,2.51,Symbol: AUTH_NA (1.00),Symbol: DATE_IN_PAST (1.00)[46434],,,,,,,Symbol: MIME_GOOD (-0.10)[multipart/alternative],,,,,,Symbol: RCVD_NO_TLS_LAST (0.10),,,,,,,
phishing-2020-61.txt,6,Yes,6.6,"DKIM_INVALID,DKIM_SIGNED,EMPTY_MESSAGE,FROMSPACE,MISSING_MID,SPF_FAIL,SPF_HELO_NONE,TO_EQ_FM_DOM_SPF_FAIL,TO_EQ_FM_SPF_FAIL,URIBL_BLOCKED",,Spam: true,12.5,,Symbol: DATE_IN_PAST (1.00)[12562],,,,,,,Symbol: MIME_GOOD (-0.10)[multipart/alternative],,Symbol: MISSING_MID (2.50),,,,Symbol: RCVD_NO_TLS_LAST (0.10),,Symbol: TO_DN_RECIPIENTS (2.00),,Symbol: R_SPF_FAIL (1.00)[-all],,Symbol: VIOLATED_DIRECT_SPF (3.50),
phishing-2016-183.txt,2,No,2.7,"EMPTY_MESSAGE,RCVD_IN_DNSWL_BLOCKED,RDNS_DYNAMIC,SPF_HELO_NONE",,Spam: true,8.0,,Symbol: DATE_IN_PAST (1.00)[47991],,,,,,,Symbol: MIME_GOOD (-0.10)[multipart/mixed],,,,,,Symbol: RCVD_NO_TLS_LAST (0.10),,Symbol: TO_DN_RECIPIENTS (2.00),,,,,
phishing-2019-193.txt,3,No,3.7,"FROM_2_EMAILS_SHORT,HTML_MIME_NO_HTML_TAG,MIME_HTML_ONLY,PDS_FROM_2_EMAILS,SPF_HELO_NONE,SPF_NONE,TVD_SPACE_RATIO,TVD_SPACE_RATIO_MINFP",,Spam: true,8.3,Symbol: AUTH_NA (1.00),Symbol: DATE_IN_PAST (1.00)[17587],,,,,,,,Symbol: MIME_HTML_ONLY (0.20),,,,,Symbol: RCVD_NO_TLS_LAST (0.10),,,,,,,
phishing-2016-243.txt,3,No,3.6,"EMPTY_MESSAGE,RDNS_NONE,SPF_HELO_NONE,SPF_NONE",,Spam: true,9.600000000000001,Symbol: AUTH_NA (1.00),Symbol: DATE_IN_PAST (1.00)[47077],,,,Symbol: HFILTER_HOSTNAME_UNKNOWN (2.50),,,Symbol: MIME_GOOD (-0.10)[multipart/related],,,,,,Symbol: RCVD_NO_TLS_LAST (0.10),,,,,,,
phishing-2016-284.txt,2,No,3.0,"EMPTY_MESSAGE,MISSING_MID,RCVD_IN_DNSWL_BLOCKED,RCVD_IN_MSPIKE_H3,RCVD_IN_MSPIKE_WL,SPF_HELO_NONE,SPF_NONE,SUBJ_ALL_CAPS",,Spam: true,10.5,Symbol: AUTH_NA (1.00),Symbol: DATE_IN_PAST (1.00)[46360],,,,,,,Symbol: MIME_GOOD (-0.10)[multipart/mixed],,Symbol: MISSING_MID (2.50),,,,Symbol: RCVD_NO_TLS_LAST (0.10),,Symbol: TO_DN_RECIPIENTS (2.00),Symbol: SUBJ_ALL_CAPS (3.00)[50],,,,
